entered and chekced,Site,Date,month,day,year,Species,notes,Counts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,60,notes
JEA,H4,6/22/18,6,22,2018,squirrelfish,"I didn't put the number of fish here (I have @25), but I did add the note: ""I am way underestimating the squirrels here"" - pretty fucking dumb",30,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H5,6/17/18,6,17,2018,squirrelfish,,16,,,,,,,,5,,10,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H6,6/17/18,6,17,2018,squirrelfish,,67,,,,,,,,10,,25,,30,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW1,5/20/18,5,20,2018,squirrelfish,,3,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW3,5/20/18,5,20,2018,squirrelfish,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,MOW4,5/20/18,5,20,2018,squirrelfish,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,LH3,5/21/18,5,21,2018,squirrelfish,,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
,LH2,5/21/18,5,21,2018,squirrelfish,,7,,,,,,,,,,,,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,stoplight parrotfish,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H1,6/15/18,6,15,2018,stoplight parrotfish,,5,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H3,6/22/18,6,22,2018,stoplight parrotfish,,3,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,stoplight parrotfish,,3,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW1,5/20/18,5,20,2018,stoplight parrotfish,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H8,6/19/18,6,19,2018,striped parrotfish,,10,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H5,6/5/18,6,5,2018,striped parrotfish,,10,,,,,,,3,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H6,6/5/18,6,5,2018,striped parrotfish,,6,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock A,6/17/18,6,17,2018,striped parrotfish,,8,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,striped parrotfish,,8,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H3,6/22/18,6,22,2018,striped parrotfish,,34,,,,,,,,19,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,striped parrotfish,,8,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H5,6/17/18,6,17,2018,striped parrotfish,,12,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H5,6/5/18,6,5,2018,surgeonfish,,7,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H6,6/5/18,6,5,2018,surgeonfish,,7,,,,,,1,,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
